Variable,Forcing,Source,Number,wet warm,wet cold,dry cold,dry warm
evap,pr,FLUXNET \citep{pastorello_fluxnet2015_2020},-,-,-0.32,-,-0.51
evap,pr,FLUXCOM* \citep{jung_fluxcom_2019},2,0.57,0.75,0.67,0.89
evap,pr,Budyko* \citep{budyko_climate_1974},1,0.84,0.83,0.98,1
evap,netrad,FLUXNET \citep{pastorello_fluxnet2015_2020},-,-,-0.26,-,-0.44
evap,netrad,FLUXCOM \citep{jung_fluxcom_2019},2,0.93,0.94,0.79,0.91
evap,netrad,Budyko* \citep{budyko_climate_1974},1,0.95,0.99,0.59,0.79
qr,pr,MacDonald \citep{macdonald_mapping_2021},3,-,-,-,0.84
qr,pr,Moeck* \citep{moeck_global-scale_2020},4,-0.05,0.66,0.29,0.74
qtot,pr,GSIM \citep{do_global_2018,gudmundsson_global_2018},5,0.73,0.86,0.89,0.82
qtot,pr,GRUN* \citep{ghiggi_grun_2019},6,0.86,0.74,0.27,0.94
qtot,pr,Budyko* \citep{budyko_climate_1974},1,0.94,0.87,0.9,0.99
qtot,netrad,Budyko* \citep{budyko_climate_1974},1,0.45,0.42,0.11,0.69
